wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|Because you will know that I will be very very upset if you do.
wavs/9-7-18 clem interviewed by tara_1.wav-00616920_00624480.wav|you know, it's it. Yeah, I just opened my eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619470_00624480.wav|it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00618210_00624480.wav|Yeah, I just opened my eyes to it. So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00618210_00624480.wav|Yeah, I just opened my eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619470_00624480.wav|to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00618540_00624480.wav|just opened my eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00617940_00624480.wav|it. Yeah, I just opened my eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00621300_00625500.wav|known, you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00621660_00626490.wav|you know, I've been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00622080_00625500.wav|been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00620760_00626490.wav|I've always known, you know, I've been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00620760_00625500.wav|I've always known, you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00622980_00626490.wav|compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00620310_00626490.wav|it's something I've always known, you know, I've been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00624480_00625500.wav|I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00623640_00625500.wav|towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00622980_00625500.wav|compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00621660_00625500.wav|you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619470_00625500.wav|it. So it's something I've always known, you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619890_00625500.wav|So it's something I've always known, you know, I've been always very very compassionate towards animals. I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619890_00624480.wav|So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00620940_00625500.wav|always known, you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00621750_00626490.wav|know, I've been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00622230_00625500.wav|always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00620430_00625500.wav|something I've always known, you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00623970_00625500.wav|animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00620310_00625500.wav|it's something I've always known, you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00621750_00625500.wav|know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619470_00625500.wav|to it. So it's something I've always known, you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00621300_00626490.wav|known, you know, I've been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00622770_00625500.wav|very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619350_00625500.wav|eyes to it. So it's something I've always known, you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00624900_00626490.wav|animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00622230_00626490.wav|always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00621900_00626490.wav|I've been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00620940_00626490.wav|always known, you know, I've been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00624480_00626490.wav|I love animals. I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00622080_00626490.wav|been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00623640_00626490.wav|towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00624480_00626490.wav|I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00623970_00626490.wav|animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00624480_00626490.wav|love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00622530_00626490.wav|very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00619890_00626490.wav|So it's something I've always known, you know, I've been always very very compassionate towards animals. I love animals. I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00622770_00626490.wav|very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00619890_00626490.wav|So it's something I've always known, you know, I've been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00620430_00626490.wav|something I've always known, you know, I've been always very very compassionate towards animals. I love animals.  I love nature.
wavs/9-7-18 clem interviewed by tara_1.wav-00668130_00675150.wav|also that sort of thing.  But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00670860_00675150.wav|But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00667470_00675150.wav|with us was also that sort of thing.  But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00668730_00675150.wav|sort of thing.  But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00667650_00675150.wav|was also that sort of thing.  But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00669030_00675150.wav|thing.  But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00668970_00675150.wav|of thing.  But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00667200_00675150.wav|some with us was also that sort of thing.  But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00668490_00675150.wav|that sort of thing.  But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00667650_00675150.wav|us was also that sort of thing.  But, you know, anyway, it was a slowly but you're on still fishing.
wavs/9-7-18 clem interviewed by tara_1.wav-00717660_00724920.wav|passionate about whales in particular.  But just that dream to sail into the ice it was just a sailor's dream.
wavs/9-7-18 clem interviewed by tara_1.wav-00718890_00724920.wav|particular.  But just that dream to sail into the ice it was just a sailor's dream.
wavs/9-7-18 clem interviewed by tara_1.wav-00721260_00724920.wav|But just that dream to sail into the ice it was just a sailor's dream.
wavs/9-7-18 clem interviewed by tara_1.wav-00718080_00724920.wav|about whales in particular.  But just that dream to sail into the ice it was just a sailor's dream.
wavs/9-7-18 clem interviewed by tara_1.wav-00718770_00724920.wav|in particular.  But just that dream to sail into the ice it was just a sailor's dream.
wavs/9-7-18 clem interviewed by tara_1.wav-00717390_00724920.wav|very passionate about whales in particular.  But just that dream to sail into the ice it was just a sailor's dream.
wavs/9-7-18 clem interviewed by tara_1.wav-00718320_00724920.wav|whales in particular.  But just that dream to sail into the ice it was just a sailor's dream.
wavs/9-7-18 clem interviewed by tara_1.wav-00734610_00740880.wav|into this untouched, natural world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00733350_00740880.wav|and really diving, you know, into this untouched, natural world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00733590_00740880.wav|really diving, you know, into this untouched, natural world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00736320_00740880.wav|untouched, natural world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00738750_00740880.wav|That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00734850_00740880.wav|this untouched, natural world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00734370_00740880.wav|you know, into this untouched, natural world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00738420_00740880.wav|world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00733830_00740880.wav|diving, you know, into this untouched, natural world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00737520_00740880.wav|natural world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00734460_00740880.wav|know, into this untouched, natural world.  That was what inspired the voyage.
wavs/9-7-18 clem interviewed by tara_1.wav-00756120_00763650.wav|So he actually he was fascinated about our lifestyle, and, and that's what he was capturing on film.
wavs/9-7-18 clem interviewed by tara_1.wav-00758970_00765180.wav|lifestyle, and, and that's what he was capturing on film.  And he was part of the journey.
wavs/9-7-18 clem interviewed by tara_1.wav-00758700_00765180.wav|our lifestyle, and, and that's what he was capturing on film.  And he was part of the journey.
wavs/9-7-18 clem interviewed by tara_1.wav-00763230_00765180.wav|film.  And he was part of the journey.
wavs/9-7-18 clem interviewed by tara_1.wav-00759960_00765180.wav|and, and that's what he was capturing on film.  And he was part of the journey.
wavs/9-7-18 clem interviewed by tara_1.wav-00761220_00765180.wav|and that's what he was capturing on film.  And he was part of the journey.
